編號,案類,發生(現)日期,發生時段,發生(現)地點,location
54,汽車竊盜,1040524,01~03,台北市內湖區東湖里東湖路91~120號,"25.0682405,121.61627679999992"
55,汽車竊盜,1040524,22~24,台北市信義區敦厚里永吉路120巷,"25.0439122,121.57025709999994"
56,汽車竊盜,1040525,07~09,台北市南港區百福里福德街339巷7弄口,"25.0382797,121.58993029999999"
57,汽車竊盜,1040525,16~18,台北市文山區興泰里辛亥路四段106巷底,"25.0055956,121.55738489999999"
58,汽車竊盜,1040525,19~21,台北市文山區明義里興隆路四段46巷31~60號,"24.987883,121.55933900000002"
59,汽車竊盜,1040526,01~03,台北市信義區黎平里和平東路三段391巷20弄1~30號,"25.024053,121.55352199999993"
60,汽車竊盜,1040526,22~24,台北市信義區四育里松隆路271~300號,"25.048016,121.5767032"
61,汽車竊盜,1040528,22~24,台北市信義區雅祥里市民大道六段松隆路123巷口,"25.0492112,121.57164620000003"
62,汽車竊盜,1040531,19~21,台北市北投區立賢里承德路七段304巷1~30號,"25.1172326,121.50532840000005"
63,汽車竊盜,1040613,19~21,台北市中山區民族東路與松江路口,"25.0719586,121.53200319999996"
64,汽車竊盜,1040616,10~12,台北市中正區河堤里金門街附近,"25.0213221,121.52291420000006"
65,汽車竊盜,1040616,13~15,台北市北投區湖山里紗帽路與建國街口,"25.1440704,121.53944720000004"
66,汽車竊盜,1040627,19~21,台北市北投區建民里文林北路80巷90弄31~60號,"25.1066677,121.52045010000006"
67,汽車竊盜,1040628,16~18,台北市南港區玉成里南港路三段130巷3弄1~30號,"25.0538738,121.58798139999999"
68,汽車竊盜,1040715,22~24,台北市南港區玉成里南港路三段149巷,"25.056524,121.58579499999996"
69,汽車竊盜,1040719,01~03,台北市文山區老泉里老泉街北二高涵洞下方,"24.9778401,121.56111510000005"
70,汽車竊盜,1040720,19~21,台北市中正區西藏路61~90號,"25.0301394,121.50507790000006"
71,汽車竊盜,1040723,01~03,台北市信義區三犁里信義路五段121~150號,"25.0336571,121.57389769999997"
72,汽車竊盜,1040731,10~12,台北市萬華區環河南路三段181~210號,"25.022233,121.492031"
73,汽車竊盜,1040801,04~06,台北市北投區立賢里承德路七段342巷口,"25.1176856,121.50494359999993"
