編號,案類,發生(現)日期,發生時段,發生(現)地點,location
55,自行車竊盜,1040215,10~12,台北市北投區開明里中和街241-270號,"25.1402164,121.50065059999997"
56,自行車竊盜,1040215,13~15,台北市松山區南京東路五段211-240號,"25.05189,121.55780000000004"
57,自行車竊盜,1040216,19~21,台北市大安區敦煌里仁愛路四段266巷,"25.0370522,121.55292209999993"
58,自行車竊盜,1040217,01~03,台北市文山區興得里興隆路三段211-240號,"24.994676,121.55977200000007"
59,自行車竊盜,1040217,10~12,台北市大安區古莊里羅斯福路三段91-120號,"25.022693,121.52626699999996"
60,自行車竊盜,1040218,07~09,台北市內湖區瑞光里瑞光路112巷58弄,"25.0743126,121.57827769999994"
61,自行車竊盜,1040218,22~24,台北市萬華區西門站,"25.0456572,121.50773730000003"
62,自行車竊盜,1040219,10~12,台北市信義區安康里虎林街164巷58弄1-30號,"25.0381194,121.57477790000007"
63,自行車竊盜,1040220,19~21,台北市北投區榮光里石牌路一段181-210號,"25.1149781,121.51456350000001"
64,自行車竊盜,1040222,13~15,台北市大安區辛亥路一段61-90號,"25.0203674,121.52967739999997"
65,自行車竊盜,1040222,13~15,台北市中山區圓山捷運站2號出口,"25.071353,121.52011800000002"
66,自行車竊盜,1040225,04~06,台北市大安區黎孝里和平東路三段271-300號,"25.0223056,121.55505070000004"
67,自行車竊盜,1040225,10~12,台北市信義區基隆路二段31-60號,"25.0315728,121.5589678"
68,自行車竊盜,1040226,22~24,台北市文山區樟腳里木新路三段95巷31-60號,"24.9824267,121.56458880000002"
69,自行車竊盜,1040228,16~18,台北市南港區新富里忠孝東路七段631-660號,"25.053385,121.61593900000003"
70,自行車竊盜,1040301,01~03,台北市大安區光信里5鄰光復南路421-450號,"25.0356774,121.55727669999999"
71,自行車竊盜,1040306,10~12,台北市文山區景華里三福街1-30號,"24.9971944,121.54247250000003"
72,自行車竊盜,1040306,13~15,台北市中山區錦州街331-360號,"25.0603321,121.53891150000004"
73,自行車竊盜,1040307,10~12,台北市松山區南京東路三段331-360號,"25.0519952,121.54751480000004"
74,自行車竊盜,1040308,07~09,台北市大安區法治里通化街181-210號,"25.0270564,121.55344600000001"
75,自行車竊盜,1040308,22~24,台北市南港區東明里家樂福前,"25.052979,121.60049670000001"
76,自行車竊盜,1040314,13~15,台北市南港區合成里忠孝東路六段451-480號,"25.0504707,121.59329079999998"
77,自行車竊盜,1040315,04~06,台北市大安區古莊里羅斯福路二段101巷1-30號,"25.0246043,121.52658500000007"
78,自行車竊盜,1040315,07~09,台北市大安區和平東路一段151-180號,"25.026505,121.53108700000007"
79,自行車竊盜,1040316,19~21,台北市大安區學府里羅斯福路四段1-30號,"25.0169587,121.53385070000002"
80,自行車竊盜,1040317,10~12,台北市大安區華聲里市民大路四段211-240號,"25.0446729,121.55693020000001"
81,自行車竊盜,1040318,07~09,台北市北投區清江里三合街二段481-510號,"25.1262794,121.50135009999997"
82,自行車竊盜,1040318,10~12,台北市松山區松河街91-120號,"25.0509387,121.57461330000001"
83,自行車竊盜,1040318,16~18,台北市大安區福住里新生南路二段1-30號,"25.0316869,121.53298999999993"
84,自行車竊盜,1040319,07~09,台北市南港區新富里研究院路一段31-60號,"25.053728,121.61658599999998"
85,自行車竊盜,1040319,10~12,台北市士林區中山北路五段61-90號,"25.0836293,121.52560970000002"
86,自行車竊盜,1040320,10~12,台北市信義區忠孝東路五段391-420號,"25.040697,121.57535400000006"
87,自行車竊盜,1040321,13~15,台北市大安區黎和里和平東路三段391-420號,"25.0179649,121.55924299999992"
88,自行車竊盜,1040322,16~18,台北市大安區古莊里羅斯福路二段101巷1-30號,"25.0246043,121.52658500000007"
89,自行車竊盜,1040323,10~12,台北市大安區敦安里敦化南路一段295巷31-60號,"25.03548,121.55025330000001"
